41,40406,--56mD0sm1eOogphi2FFLw,CiYLq33nAyghFkUR15pP-Q,4
41,80557,--56mD0sm1eOogphi2FFLw,QJatAcxYgK1Zp9BRZMAx7g,5
174,169578,--Qh8yKWAvIP4V4K8ZPfHA,tZnSodhPwNr4bzrwJ1CSbw,3
174,100940,--Qh8yKWAvIP4V4K8ZPfHA,XD0LjNuPPwJPsTAHecUh7A,1
174,43368,--Qh8yKWAvIP4V4K8ZPfHA,DjRMmmVjz2UIH5y5-dt8ww,4
174,42454,--Qh8yKWAvIP4V4K8ZPfHA,DQFuOd8tUebBAcV5iTGfDA,2
174,14947,--Qh8yKWAvIP4V4K8ZPfHA,47WDyaBzlYK24wY1m_XnsA,5
174,138344,--Qh8yKWAvIP4V4K8ZPfHA,iuUcV1ca8NB9QpYj-frJ6Q,3
174,182538,--Qh8yKWAvIP4V4K8ZPfHA,xwmwTpzw9XSwK-UT5Ka3HQ,3
174,73751,--Qh8yKWAvIP4V4K8ZPfHA,O1QugfyKD4G636jV43-vkw,2
174,35738,--Qh8yKWAvIP4V4K8ZPfHA,B9pMUND3peh4fFtGmqA4LA,4
174,101684,--Qh8yKWAvIP4V4K8ZPfHA,XT25YpQoNDuzAZHur-HZ8g,4
174,38513,--Qh8yKWAvIP4V4K8ZPfHA,C6uJ3mbYCuQyy9PK2rBcKw,3
174,68409,--Qh8yKWAvIP4V4K8ZPfHA,MAu-MslTY63t9LDV0Pe8UA,2
174,143854,--Qh8yKWAvIP4V4K8ZPfHA,klfds_dA25_VeKFuW5o9Xg,4
174,76995,--Qh8yKWAvIP4V4K8ZPfHA,P6nW-MjLUAD7Yc_na84jCg,4
174,30250,--Qh8yKWAvIP4V4K8ZPfHA,9LimxWLM3URfrCcQsUJ3yg,2
174,36818,--Qh8yKWAvIP4V4K8ZPfHA,BY0o4pOtNPKyTklTFXDJpg,4
174,178118,--Qh8yKWAvIP4V4K8ZPfHA,wRKYLXr9z--kt96ELXzv1Q,3
